一级技能,说明,二级技能
"观察
（Observation）;",\,"观察具体事物的构成要素（Observe the constituent elements of specific things）;
观察事物的形态特征（Observe the morphological characteristics of things）;
观察实验现象（Observation of experimental phenomena）;
观察生活中的现象（Observing phenomena in life）;"
"比较
(Comparation)",\,"比较事物的外部形态特征（Comparing the external morphological characteristics of things）;
比较事物的本质特征（Comparing the essential characteristics of things）;
比较事物的功能和用途（Compare the functions and uses of things）;"
"辨别
(Identify)",\,"辨别二维空间中的东西南北和上下左右/辨别位置和方向（Identify position and direction）;
辨别简单工具的功能和使用方法（Identify the function and use of simple tools）;
辨别观点与事实（Discriminate between opinion and fact）;
突破生活中的思维定势（思维定势，如：生活中的常识性错误；对常见物品功能的思维定势）;（Thinking outside the box in life）;"
"分类
（Classify）;",\,"根据事物的外在特征进行分类（Classify things according to their external characteristics）;
根据不同的目的进行分类（Classification according to different purposes）;
根据事物的本质特征进行分类（Classify things according to their essential characteristics）;"
"分析与综合
（Analyze）;",\,"分析事物构成要素之间的关系，找到其共同的特征（Analyze the relationship between the constituent elements of things to find their common features）;
分析事物的特征及结构，建立事实与观点之间的联系（Analyze the characteristics and structure of things to make connections between facts and ideas）;
分析科学实验中的变量控制（Analyze the control of variables in scientific experiments）;
分析问题的各种影响因（Analyze the influencing factors of a problem）;
分析事物的变化规律（Analyze the law of change of things）;"
"抽象
（abstract）;",\,抽象出事物的本质特征（abstract the essential character of a thing）;
"建模
（construct）;",\,"构建表达三维空间物体的二维模型（Constructing 2D models that represent objects in 3D space）;
构建简化的实物模型（Construct simplified physical models）;"
"概括
（Summarize）;",\,"概括出事物的本质特征（Summarize the essential characteristics of things）;
概括同类事物的共同特征（Summarize the common characteristics of similar things）;"
"归纳
（induction）;",\,归纳（method of deduction in logic）;
"演绎
（deduce）;",\,演绎（deduce）;
"联想
（associate）;",（已知A，联想到A1、A2...）;,"联想（associate：It is known that A, associated with A1, A2...）;"
"想象
（imagine）;",\,"基于事物的外在特征展开想象（Imagine based on the external characteristics of things）;
基于事物的构成要素展开想象（Imagine on the basis of the constituent elements of the thing）;
基于事物的功能展开想象（Imagine based on the function of the thing）;"
"推理
（inference）;",（已知A=B，B=C，推理得出A=C）;,推理（inference）;
"实验
（experiment）;",\,"利用控制变量的方法设计简单实验（design simple experiments using controlled variables）;
领会实验器材的用途（Appreciate the use of experimental equipment）;
实验安全意识（Awareness of experimental safety）;"
"解释
（explain）;",\,"运用科学方法解释科学现象（注：此处的科学方法可有：模型、概念图、统计图/表等）;
（Apply the scientific method to explain scientific phenomena (note: the scientific method in this context may include: models, concept maps, statistical graphs/tables, etc.)）;
运用科学原理进行解释结果（Apply scientific principles to interpret results）;"
"提出问题
（ask a question）;",\,提出问题（ask a question）;
"作出假设
（hypothesis）;",\,作出假设（make assumptions）;
"制订计划
（Developing a plan）;",\,"制订简单的探究计划（Developing a simple plan of inquiry）;
制订比较完整的探究计划（Develop a more complete plan of inquiry）;"
"搜集证据
（gather evidence）;",例如：能够从一堆材料中，选择出关键性证据,"具有提供证据的意识（Awareness of providing evidence）;
能提供支撑性的证据（Ability to provide supporting evidence）;"
"处理信息
（Processing information）;",\,处理信息（Processing information）;
"得出结论
（conclude）;",\,得出结论（conclude）;
"表达交流
（communication）;",\,"用科学词汇表达交流（Communicate using scientific vocabulary）;
用科学方法表达结果（注：此处的科学方法可有：模型、概念图、统计图/表等）;
（Expressing results using the scientific method）;"
"反思评价
（Reflective evaluation）;",\,"具有反思学习过程的意识（Have an awareness of the process of reflecting on learning）;
具有反思学习结果的意识（Awareness of reflecting on learning outcomes）;"
"检验作品
（Inspection）;",\,检验作品（Inspection）;
"改进完善
（refinement）;",\,迭代思维（refinement）;
"发布成果
（Publishing results）;",\,发布成果（Publishing results）;
"确定学习目标
（Motivation）;",\,具备自主制订和执行学习计划的意识（Sense of autonomy in developing and implementing a learning plan）;
"选择学习策略
（Learning Strategies）;",\,具备根据自身特点选择学习策略的意识（Awareness of choosing learning strategies based on their own characteristics）;
"监控学习过程
（Monitoring the learning process）;",\,"具备监控学习过程的意识
（Awareness of monitoring the learning process）;"
